"Player","Year","Team","Cap.Number","Cash.Spent","Rank","ATT","YDS","Y.A","LG","X20.","TD","REC","TGT","YDS.1","Y.R","TD.1","FL","G","FPTS","FPTS.G","ROST"
"D'Ernest Johnson",2023,"Jaguars","$1,092,500",1232500,80,41,108,2.6,19,0,0,10,12,140,14,0,0,17,24.8,1.5,"5.2%"
"D'Onta Foreman",2020,"Titans","$209,529",209529,102,22,95,4.3,15,0,0,1,1,5,5,1,0,6,16,2.7,"5.8%"
"D'Onta Foreman",2020,"Titans","$397,059",481765,102,22,95,4.3,15,0,0,1,1,5,5,1,0,6,16,2.7,"5.8%"
"D'Onta Foreman",2021,"Titans","$511,111",511111,50,133,566,4.3,35,4,3,9,11,123,13.7,0,1,9,84.9,9.4,"5.8%"
"D'Onta Foreman",2022,"Panthers","$2,000,000",2e+06,33,203,914,4.5,60,8,5,5,9,26,5.2,0,0,16,126,7.9,"5.8%"
"D'Onta Foreman",2023,"Bears","$2,000,000",2e+06,43,109,425,3.9,22,1,4,11,16,77,7,1,0,9,80.2,8.9,"5.8%"
"Dalvin Cook",2020,"Vikings","$4,616,419",16331361,3,312,1557,5,70,6,16,44,54,361,8.2,1,3,14,293.8,21,"9.4%"
"Dalvin Cook",2021,"Vikings","$5,113,037",2100000,15,249,1159,4.7,66,9,6,34,49,224,6.6,0,2,13,172.3,13.3,"9.4%"
"Dalvin Cook",2022,"Vikings","$12,001,272",8900000,9,264,1173,4.4,81,5,8,39,56,295,7.6,2,4,17,198.8,11.7,"9.4%"
"Dalvin Cook",2023,"Ravens","$0",0,78,67,214,3.2,14,0,0,15,20,78,5.2,0,2,15,25.2,1.7,"9.4%"
"Damarea Crockett",2021,"Broncos","$55,067",55067,160,3,7,2.3,6,0,0,0,0,0,0,0,0,1,0.7,0.7,"0.0%"
"Dameon Pierce",2022,"Texans","$847,747",1459321,29,220,939,4.3,75,7,4,30,39,165,5.5,1,2,13,136.4,10.5,"5.2%"
"Dameon Pierce",2023,"Texans","$1,098,858",895000,50,145,416,2.9,22,1,2,13,17,101,7.8,0,0,14,69.7,5,"5.2%"
"Damien Harris",2020,"Patriots","$896,534",675000,44,137,691,5,41,4,2,5,7,52,10.4,0,0,10,86.3,8.6,"9.0%"
"Damien Harris",2021,"Patriots","$1,071,534",850000,8,202,929,4.6,64,8,15,18,20,132,7.3,0,2,15,192.1,12.8,"9.0%"
"Damien Harris",2022,"Patriots","$1,186,534",965000,49,106,462,4.4,30,2,3,17,23,97,5.7,0,0,11,73.9,6.7,"9.0%"
"Damien Harris",2023,"Bills","$1,770,000",1770000,90,23,94,4.1,11,0,1,2,2,16,8,0,0,7,17,2.4,"9.0%"
"Damien Williams",2021,"Bears","$1,125,000",1500000,72,40,164,4.1,23,1,2,16,23,103,6.4,1,0,12,44.7,3.7,"0.0%"
"Dare Ogunbowale",2020,"Jaguars","$675,000",675000,95,32,145,4.5,25,1,0,10,20,54,5.4,0,0,14,19.9,1.4,"1.1%"
"Dare Ogunbowale",2021,"Jaguars","$850,000",850000,80,43,137,3.2,12,0,1,13,21,114,8.8,1,0,13,37.1,2.9,"1.1%"
"Dare Ogunbowale",2022,"Texans","$1,450,000",1600000,83,42,123,2.9,11,0,1,20,26,104,5.2,0,0,15,28.7,1.9,"1.1%"
"Dare Ogunbowale",2023,"Texans","$1,550,000",1341176,108,8,35,4.4,17,0,0,2,7,18,9,0,0,10,8.3,0.8,"1.1%"
"Darius Bradwell",2020,"Chargers","$197,765",197765,161,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%"
"Darius Bradwell",2021,"Chargers","$193,067",193067,170,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,"0.0%"
"Darrel Williams",2020,"Chiefs","$755,000",750000,79,39,169,4.3,13,0,1,18,26,116,6.4,0,0,16,36.5,2.3,"0.0%"
"Darrel Williams",2021,"Chiefs","$1,594,118",1600000,22,144,558,3.9,21,1,6,47,57,452,9.6,2,0,17,149,8.8,"0.0%"
