player,year,Team,cap number,Cash.Spent,Rank,ATT,YDS,Y.A,LG,X20.,TD,REC,TGT,YDS.1,Y.R,TD.1,FL,G,FPTS,FPTS.G,ROST,cap number_paired,age
Zach Charbonnet,2023,Seahawks,"$1,250,196",2750784.0,48,108,462,4.3,23,4,1,33,40,209,6.3,0,0,16,73.1,4.6,64.4%,"$1,250,196",22.0
Zach Evans,2023,Rams,"$783,333",883332.0,130,9,19,2.1,5,0,0,0,0,0,0.0,0,0,4,1.9,0.5,0.0%,"$783,333",22.0
Zack Moss,2020,Bills,"$838,605",1524420.0,43,112,481,4.3,31,4,4,14,18,95,6.8,1,0,13,87.6,6.7,71.8%,"$838,605",22.0
Zack Moss,2021,Bills,"$1,048,256",819651.0,53,96,345,3.6,17,0,4,23,32,197,8.6,1,1,13,82.2,6.3,71.8%,"$1,048,256",23.0
Zack Moss,2022,Colts,"$543,750",543750.0,61,93,456,4.9,43,2,1,11,13,39,3.5,0,1,13,53.5,4.1,71.8%,"$543,750",24.0
Zack Moss,2023,Colts,"$1,169,260",1169260.0,27,183,794,4.3,56,6,5,27,37,192,7.1,2,0,14,142.6,10.2,71.8%,"$1,169,260",25.0
Zamir White,2022,Raiders,"$890,981",1448924.0,124,17,70,4.1,22,1,0,0,0,0,0.0,0,0,11,7.0,0.6,45.5%,"$890,981",23.0
Zamir White,2023,Raiders,"$1,055,981",870000.0,57,104,451,4.3,43,2,1,15,19,98,6.5,0,1,15,58.9,3.9,45.5%,"$1,055,981",24.0
Zonovan Knight,2022,Jets,"$430,833",430833.0,66,85,300,3.5,48,1,1,13,14,100,7.7,0,0,7,46.0,6.6,0.0%,"$430,833",21.0
Zonovan Knight,2023,Lions,"$488,055",488055.0,128,3,13,4.3,8,0,0,1,1,8,8.0,0,0,2,2.1,1.1,0.0%,"$488,055",22.0
