"Player","Year","Team","Cap.Number","Cash.Spent","Rank","REC","TGT","YDS","Y.R","LG","X20.","TD","ATT","YDS.1","TD.1","FL","G","FPTS","FPTS.G","ROST","REC_TGT_interaction"
"Olamide Zaccheaus",2020,"Falcons","$603,137",601471,113,20,32,274,13.7,51,2,1,1,0,0,0,11,33.4,3,"0.7%",0.625
"Olamide Zaccheaus",2021,"Falcons","$851,668",850000,77,31,53,406,13.1,49,4,3,1,2,0,0,15,58.8,3.9,"0.7%",0.584905660377358
"Olamide Zaccheaus",2022,"Falcons","$2,433,000",2433000,62,40,61,533,13.3,45,9,3,2,7,0,1,17,70,4.1,"0.7%",0.655737704918033
"Olamide Zaccheaus",2023,"Eagles","$1,092,500",1232500,115,10,20,164,16.4,34,4,2,0,0,0,0,17,28.4,1.7,"0.7%",0.5
"Parker Washington",2023,"Jaguars","$698,066",842264,127,16,21,132,8.3,19,0,2,0,0,0,1,9,23.2,2.6,"3.9%",0.761904761904762
"Parris Campbell",2020,"Colts","$1,085,440",712088,169,6,9,71,11.8,21,1,0,2,16,0,0,2,8.7,4.4,"0.1%",0.666666666666667
"Parris Campbell",2021,"Colts","$1,302,528",929176,137,10,20,162,16.2,51,3,1,0,0,0,0,6,22.2,3.7,"0.1%",0.5
"Parris Campbell",2022,"Colts","$1,519,616",1146264,50,63,91,623,9.9,49,7,3,5,58,0,0,17,86.1,5.1,"0.1%",0.692307692307692
"Parris Campbell",2023,"Giants","$5,000,000",4200000,161,20,27,104,5.2,17,0,0,0,0,0,0,12,10.4,0.9,"0.1%",0.740740740740741
"Penny Hart",2020,"Seahawks","$71,764",71764,197,1,1,3,3,3,0,0,1,19,0,0,13,2.2,0.2,"0.0%",1
"Penny Hart",2021,"Seahawks","$780,000",780000,176,7,12,59,8.4,16,0,0,0,0,0,0,12,5.9,0.5,"0.0%",0.583333333333333
"Penny Hart",2022,"Seahawks","$895,000",895000,193,3,4,20,6.7,15,0,0,0,0,0,0,3,2,0.7,"0.0%",0.75
