Player,Year,Age,Cash.Spent
Rashod Bateman,2021,21,7183208.0
Rashod Bateman,2022,22,1232701.0
Rashod Bateman,2023,23,1805402.0
Robbie Chosen,2020,27,12000000.0
Robbie Chosen,2021,28,12500000.0
Robbie Chosen,2022,29,690000.0
Robbie Chosen,2023,30,453056.0
Robert Woods,2020,28,8000000.0
Robert Woods,2021,29,12500000.0
Robert Woods,2022,30,10000000.0
Robert Woods,2023,31,8705882.0
Romeo Doubs,2022,22,1388916.0
Romeo Doubs,2023,23,870000.0
Rondale Moore,2021,21,3055820.0
Rondale Moore,2022,22,974739.0
Rondale Moore,2023,23,1289478.0
Russell Gage,2020,24,750000.0
Russell Gage,2021,25,2183000.0
Russell Gage,2022,26,10000000.0
Shi Smith,2021,23,832416.0
Shi Smith,2022,24,825000.0
Skyy Moore,2022,22,2576276.0
Skyy Moore,2023,23,998205.0
Stefon Diggs,2020,26,14700000.0
Stefon Diggs,2021,27,13755882.0
Stefon Diggs,2022,28,24580000.0
Stefon Diggs,2023,29,24415000.0
Sterling Shepard,2020,27,6500000.0
Sterling Shepard,2021,28,7000000.0
Sterling Shepard,2022,29,2382353.0
Sterling Shepard,2023,30,1317500.0
Tank Dell,2023,24,1804195.0
Tee Higgins,2020,21,4487664.0
Tee Higgins,2021,22,1004854.0
Tee Higgins,2022,23,1399708.0
Tee Higgins,2023,24,2993000.0
Terrace Marshall Jr.,2021,21,2186896.0
Terrace Marshall Jr.,2022,22,920431.0
Terrace Marshall Jr.,2023,23,1180862.0
Terry McLaurin,2020,25,681451.0
Terry McLaurin,2021,26,850000.0
Terry McLaurin,2022,27,29479118.0
Terry McLaurin,2023,28,5425000.0
Tim Patrick,2020,26,750000.0
Tim Patrick,2021,27,6384000.0
Tre Tucker,2023,22,1607512.0
Trenton Irwin,2020,24,170282.0
Trenton Irwin,2021,25,623333.0
Trenton Irwin,2022,26,320833.0
Trenton Irwin,2023,27,940000.0
Trey Palmer,2023,22,929296.0
Treylon Burks,2022,22,8335612.0
Treylon Burks,2023,23,1358163.0
Tutu Atwell,2021,22,2317236.0
Tutu Atwell,2022,23,928577.0
Tutu Atwell,2023,24,1197154.0
Tyler Boyd,2020,25,6650000.0
Tyler Boyd,2021,26,8450000.0
Tyler Boyd,2022,27,8700000.0
Tyler Boyd,2023,28,8900000.0
Tyler Johnson,2020,22,924420.0
Tyler Johnson,2021,23,780000.0
Tyler Johnson,2023,25,56111.0
Tyler Lockett,2020,28,10200000.0
Tyler Lockett,2021,29,21000000.0
Tyler Lockett,2022,30,16000000.0
Tyler Lockett,2023,31,9700000.0
Tyler Scott,2023,22,1413448.0
Tyquan Thornton,2022,22,3015080.0
Tyquan Thornton,2023,23,1025630.0
Tyreek Hill,2020,26,16290000.0
Tyreek Hill,2021,27,13200500.0
